Attendee,Join Time,Leave Time,Join Time Number,Leave Time Number
Alejandra Reed,11/9/2020 14:03,11/9/2020 14:03,1915452180,1915452180
Brooke Figueroa,11/9/2020 17:28,11/9/2020 18:02,1915464480,1915466520
Brooke Figueroa,11/9/2020 14:01,11/9/2020 14:02,1915452060,1915452120
Brooke Figueroa,11/9/2020 16:31,11/9/2020 17:01,1915461060,1915462860
Brooke Figueroa,11/9/2020 17:03,11/9/2020 17:16,1915462980,1915463760
Brooke Figueroa,11/9/2020 14:04,11/9/2020 15:01,1915452240,1915455660
Brooke Figueroa,11/9/2020 14:00,11/9/2020 14:01,1915452000,1915452060
Keagan Payne,11/9/2020 13:55,11/9/2020 14:58,1915451700,1915455480
Keagan Payne,11/9/2020 14:59,11/9/2020 15:10,1915455540,1915456200
Keagan Payne,11/9/2020 15:14,11/9/2020 19:03,1915456440,1915470180
Evangeline Chen,11/9/2020 15:14,11/9/2020 19:03,1915456440,1915470180
Norah Reed,11/9/2020 16:04,11/9/2020 17:44,1915459440,1915465440
Armani Andrews,11/9/2020 14:42,11/9/2020 19:03,1915454520,1915470180
Aaliyah Price,11/9/2020 16:04,11/9/2020 16:06,1915459440,1915459560
Aaliyah Price,11/9/2020 16:07,11/9/2020 18:07,1915459620,1915466820
Aaliyah Price,11/9/2020 13:31,11/9/2020 13:31,1915450260,1915450260
Aaliyah Price,11/9/2020 13:54,11/9/2020 16:04,1915451640,1915459440
Matteo Rangel,11/9/2020 18:31,11/9/2020 19:01,1915468260,1915470060
Jaydan Gonzales,11/9/2020 13:21,11/9/2020 15:21,1915449660,1915456860
Jaydan Gonzales,11/9/2020 15:25,11/9/2020 15:27,1915457100,1915457220
Jaydan Gonzales,11/9/2020 15:41,11/9/2020 18:34,1915458060,1915468440
Jaydan Gonzales,11/9/2020 15:24,11/9/2020 15:25,1915457040,1915457100
Jaydan Gonzales,11/9/2020 15:39,11/9/2020 15:41,1915457940,1915458060
Alexzander Harrison,11/9/2020 13:58,11/9/2020 15:01,1915451880,1915455660
Teagan Garrison,11/9/2020 16:30,11/9/2020 17:17,1915461000,1915463820
Teagan Garrison,11/9/2020 16:14,11/9/2020 16:17,1915460040,1915460220
Teagan Garrison,11/9/2020 17:44,11/9/2020 18:01,1915465440,1915466460
Teagan Garrison,11/9/2020 18:14,11/9/2020 19:03,1915467240,1915470180
Tristen Rocha,11/9/2020 13:57,11/9/2020 19:03,1915451820,1915470180
Shyla Kane,11/9/2020 14:46,11/9/2020 14:47,1915454760,1915454820
Jasmin Zavala,11/9/2020 13:57,11/9/2020 16:16,1915451820,1915460160
Kaiya Chung,11/9/2020 16:04,11/9/2020 19:03,1915459440,1915470180
Kaiya Chung,11/9/2020 13:40,11/9/2020 16:04,1915450800,1915459440
Noelle Weber,11/9/2020 13:47,11/9/2020 16:16,1915451220,1915460160
Pierce Russell,11/9/2020 14:17,11/9/2020 17:06,1915453020,1915463160
Pierce Russell,11/9/2020 17:12,11/9/2020 17:16,1915463520,1915463760
